TRAFICO INTERNACIONAL CON RELACION A CHILE;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS A CHILE;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
LAN PERU          ;A SANTIAGO;DE BUENOS AIRES    ;0;2;16.634;39.707;53.445;33.797;8;15;18;7
 ; ;DE CORDOBA         ;0;0;0;0;0;0;0;2;0;0
 ; ;DE ROSARIO, ARG.   ;0;0;0;0;0;0;2;5;0;0
 ; ;DE LIMA            ;24.099;9.207;21.454;25.623;31.416;38.934;77.269;34.726;39.008;79.194
 ; ;DE LA PAZ          ;0;0;15;57;8;353;688;254;1.123;2.036
 ; ;DE SANTA CRUZ, BOL.;0;0;42;33;0;89;439;352;402;413
 ; ;DE BRASILIA        ;0;0;0;0;0;19;72;0;0;0
 ; ;DE IGUASSU, BRASIL ;0;0;0;0;0;0;32;69;11;29
 ; ;DE SAO PAULO       ;0;0;0;0;1;5;24;55;173;166
 ; ;DE GUAYAQUIL       ;0;139;37;36;0;23;0;329;1.085;1
 ; ;DE QUITO           ;0;566;3.254;1.968;1.121;735;1.745;7.510;5.320;1.166
 ; ;DE BOGOTA          ;0;1.273;7.425;5.700;2.803;1.638;7.764;13.344;12.209;18.806
 ; ;DE CALI            ;0;0;0;0;345;595;1.703;1.195;1.278;981
 ; ;DE CARTAGENA, COL. ;0;0;0;0;13;23;587;0;0;0
 ; ;DE MEDELLIN        ;0;0;0;578;6;174;1.467;1.587;1.013;984
 ; ;DE CARACAS         ;0;1.545;7.230;5.122;103;125;7.127;10.004;6.951;3.154
 ; ;DE LA HAVANA       ;0;0;0;0;0;0;0;4.236;3.031;2.835
 ; ;DE PUNTA CANA, R.D.;0;0;0;0;29;792;3.483;10.353;3.535;973
 ; ;DE C. DE MEXICO    ;0;1;0;0;0;0;0;0;0;0
 ; ;DE CANCUN, MEX.    ;0;0;0;0;0;0;0;9.160;3.813;967
 ; ;DE LOS ANGELES     ;4.542;1.939;988;59;39;18;537;3.012;4.297;4.459
 ; ;DE LOS ANGELES, US.;0;0;0;0;0;0;0;0;0;788
 ; ;DE MIAMI           ;38;57;44;143;67;175;867;9.134;10.177;11.429
 ; ;DE NUEVA YORK      ;58;0;0;0;0;0;0;210;4.145;3.599
 ; ;DE SAN FRANCISCO US;0;0;0;0;0;20;868;4.856;5.107;1.578
 ; ;DE MADRID          ;0;0;0;75;384;203;1.090;3.444;6.743;5.458
 ;A ARICA;DE CUZCO, PERU     ;0;0;126;0;0;59;0;0;0;0
 ; ;DE LIMA            ;64;0;0;0;0;0;0;0;0;0
 ;A IQUIQUE;DE LOS ANGELES     ;0;191;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LAN PERU          ;28.801;14.920;57.249;79.101;89.780;77.777;105.772;113.852;109.439;139.023
TACA-PERU         ;A SANTIAGO;DE LIMA            ;0;9.546;4.627;9.343;10.378;11.922;19.597;15.912;789;49
 ; ;DE GUAYAQUIL       ;0;2.637;440;2.231;2.065;2.402;3.554;3.871;0;0
 ; ;DE QUITO           ;0;3.303;407;2.383;1.898;2.579;4.000;4.478;0;0
 ; ;DE BOGOTA          ;0;2.823;362;2.439;1.929;1.769;4.472;4.342;0;0
 ; ;DE CALI            ;0;0;0;0;0;135;101;93;0;0
 ; ;DE MEDELLIN        ;0;0;0;0;32;140;112;94;0;0
 ; ;DE CARACAS         ;0;2.976;352;2.283;1.859;1.968;3.037;3.627;0;0
 ; ;DE SAN JOSE, C.R.  ;0;8.899;2.325;13.078;12.644;13.347;11.326;7.460;0;0
 ; ;DE LA HAVANA       ;0;0;488;4.692;4.954;6.254;6.837;6.750;0;0
 ; ;DE SANTO DOMINGO   ;0;0;448;3.555;2.915;5.986;6.074;6.794;0;0
 ; ;DE C. DE MEXICO    ;0;1.485;213;1.862;1.896;3.020;4.325;5.282;0;0
 ; ;DE CANCUN, MEX.    ;0;0;0;0;0;110;119;101;0;0
 ; ;DE LOS ANGELES     ;0;662;55;715;702;749;627;398;0;0
 ; ;DE MIAMI           ;0;347;154;1.054;1.069;1.183;4.733;7.059;0;0
 ; ;DE NUEVA YORK      ;0;1.112;140;841;923;1.036;801;519;0;0
 ;A ANTOFAGASTA;DE LIMA            ;0;0;0;0;0;0;3.821;0;0;0
TOTAL;INTERNACIONAL DE;TACA-PERU         ;0;33.790;10.011;44.476;43.264;52.600;73.536;66.780;789;49
LLOYD A. BOLIVIANO;A SANTIAGO;DE BUENOS AIRES    ;0;284;0;0;0;0;0;0;0;0
 ; ;DE CORDOBA         ;0;151;129;0;0;0;0;0;0;0
 ; ;DE COCHABAMBA      ;231;139;0;0;0;0;0;0;0;0
 ; ;DE LA PAZ          ;49;75;0;0;0;0;0;0;0;0
 ; ;DE SANTA CRUZ, BOL.;16.408;8.918;2.099;0;0;0;0;0;0;0
 ;A ARICA;DE LA PAZ          ;123;0;0;0;0;0;0;0;0;0
TOTAL;INTERNACIONAL DE;LLOYD A. BOLIVIANO;16.811;9.567;2.228;0;0;0;0;0;0;0
GOL TRANS         ;A SANTIAGO;DE BUENOS AIRES    ;0;16.607;71.715;47.570;43.529;44.518;46.509;40.934;0;0
 ; ;DE CORDOBA         ;0;0;322;0;0;0;0;0;0;0
 ; ;DE ROSARIO, ARG.   ;0;0;19;0;0;0;108;0;0;0
 ; ;DE LIMA            ;0;0;14.702;13.222;6.647;0;0;0;0;0
 ; ;DE BELO HORIZONTE  ;0;0;70;0;0;0;0;0;0;96
 ; ;DE BRASILIA        ;0;0;0;0;175;0;0;0;0;0
 ; ;DE FLORIANAPOLIS   ;0;802;1.118;1.370;0;0;0;0;0;0
 ; ;DE PORTO ALEGRE    ;0;892;3.512;2.592;30;57;14.970;15.150;0;0
 ; ;DE RIO DE JANEIRO  ;0;1.572;5.813;522;0;190;0;0;306;646
