TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS LLEGADOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;LLEGAN:;DESDE:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
 ;A ANTOFAGASTA;DE IQUIQUE         ;5.240;5.849;6.595;11.045;11.006;12.144;19.840;30.826;40.485;42.572
 ; ;DE CALAMA          ;1.330;1.764;3.045;4.990;5.078;8.341;5.556;4.836;377;310
 ; ;DE COPIAPO         ;0;1.350;2.863;3.398;3.373;2.726;2.119;2.461;222;0
 ; ;DE EL SALVADOR     ;0;0;107;786;564;237;82;52;0;0
 ; ;DE LA SERENA       ;0;0;0;0;0;7.083;19.973;23.160;26.548;26.953
 ; ;DE CONCEPCION      ;0;0;0;0;0;0;0;0;0;149
 ;A CALAMA;DE COPIAPO         ;0;0;0;44;687;2.571;2.550;4.116;5.401;2.012
 ; ;DE LA SERENA       ;0;0;0;0;0;11;259;5.537;8.340;7.194
 ;A COPIAPO;DE EL SALVADOR     ;0;0;6;202;14;5;26;22;0;0
 ; ;DE LA SERENA       ;0;0;0;0;0;246;2.892;5.961;6.941;3.658
 ;A CONCEPCION;DE CALAMA          ;0;0;0;0;0;0;0;0;0;1.012
 ; ;DE LA SERENA       ;0;0;58;0;0;0;0;0;0;0
 ; ;DE PUCON           ;0;0;0;0;0;40;0;63;0;0
 ; ;DE TEMUCO          ;1.686;2.904;5.073;5.832;4.921;5.504;5.096;5.674;2.791;250
 ; ;DE OSORNO          ;0;0;0;153;0;0;0;0;118;1.140
 ; ;DE PUERTO MONTT    ;3.281;3.048;1.777;9.470;12.053;13.243;17.289;19.585;18.005;8.452
 ; ;DE VALDIVIA        ;0;0;0;1.496;101;0;0;27;5.743;0
 ; ;DE BALMACEDA       ;0;227;386;2.448;5.111;2.766;514;12;0;0
 ; ;DE PUNTA ARENAS    ;1.576;1.842;1.914;1.886;683;547;119;0;0;0
 ; ;DE VALDIVIA        ;0;0;0;0;0;0;0;0;0;10.496
 ;A TEMUCO;DE PUCON           ;0;0;0;3;0;93;0;0;0;0
 ; ;DE OSORNO          ;0;0;0;487;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;0;0;0;3;0;0;0;0;0;0
 ; ;DE BALMACEDA       ;0;0;1;2.226;3.329;1.800;458;0;0;0
 ; ;DE PUNTA ARENAS    ;0;0;0;84;65;717;0;0;0;0
 ;A OSORNO;DE VALDIVIA        ;0;0;0;7;0;0;0;0;0;0
 ;A PUERTO MONTT;DE TEMUCO          ;44;113;5;4.756;3.761;5.778;5.836;5.246;607;99
 ; ;DE OSORNO          ;0;0;0;22;0;0;0;0;0;0
 ; ;DE VALDIVIA        ;0;0;0;42;151;0;16;21;33;0
 ; ;DE BALMACEDA       ;12.306;12.776;12.432;13.180;17.324;19.861;22.598;21.430;24.751;27.421
 ; ;DE PUERTO NATALES  ;0;0;0;975;342;0;615;1.804;948;0
 ; ;DE PUNTA ARENAS    ;7.104;7.257;6.402;10.213;13.437;17.372;15.325;18.032;23.399;25.692
 ;A VALDIVIA;DE PUNTA ARENAS    ;0;0;0;0;51;0;0;0;0;0
 ;A BALMACEDA;DE PUERTO NATALES  ;0;0;0;1;0;0;0;0;0;0
 ; ;DE PUNTA ARENAS    ;1.427;2.820;4.496;5.135;4.624;4.506;6.764;5.251;3.262;3.120
 ;A PUNTA ARENAS;DE PUERTO NATALES  ;0;0;0;39;0;0;0;0;0;0
TOTAL;NACIONAL DE;SKY AIRLINE       ;286.546;297.158;334.354;406.089;465.901;553.811;659.546;821.890;1.049.303;1.154.444
XTRA AIRWAYS      ;A SANTIAGO;DE ANTOFAGASTA     ;0;0;0;0;0;0;0;0;4.017;7.141
 ; ;DE CALAMA          ;0;0;0;0;0;0;0;0;609;8.228
 ; ;DE CONCEPCION      ;0;0;0;0;0;0;0;0;3;4
 ;A ANTOFAGASTA;DE CALAMA          ;0;0;0;0;0;0;0;0;0;300
 ; ;DE CONCEPCION      ;0;0;0;0;0;0;0;0;2.864;7.540
TOTAL;NACIONAL DE;XTRA AIRWAYS      ;0;0;0;0;0;0;0;0;7.493;23.213
TOTAL;GENERAL;DE DATOS;1.589.337;1.677.988;2.037.380;2.376.463;2.526.952;2.975.452;3.498.454;4.162.761;4.728.145;4.890.919
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TRAFICO NACIONAL;;;;;;;;;;;;
TRAFICO POR OPERADOR POR PARES DE CIUDADES;;;;;;;;;;;;
PASAJEROS SALIDOS;;;;;;;;;;;;
;;;;;;;;;;;;
OPERADOR;SALEN:;LLEGAN:;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
PAL AIRLINES;DE SANTIAGO;A ARICA           ;0;0;0;0;0;3.049;16.720;4.383;0;0
 ; ;A IQUIQUE         ;0;0;0;0;10.073;22.630;30.233;34.558;15.826;1.640
 ; ;A ANTOFAGASTA     ;0;0;0;287;14.782;36.612;32.644;30.216;23.435;3.247
 ; ;A CALAMA          ;0;0;0;0;889;17.385;20.498;40.314;58.237;9.259
 ; ;A COPIAPO         ;0;0;0;0;0;2.376;13.618;16.512;5.261;128
 ; ;A LA SERENA       ;0;0;0;0;0;0;76;0;0;223
 ; ;A CONCEPCION      ;0;0;0;0;70;0;188;0;372;426
 ; ;A TEMUCO          ;0;0;0;146;0;111;0;0;0;0
 ; ;A OSORNO          ;0;0;0;0;0;0;120;0;0;0
 ; ;A PUERTO MONTT    ;0;0;0;0;106;0;0;0;0;0
 ; ;A VALDIVIA        ;0;0;0;0;69;0;0;0;0;0
 ; ;A PUNTA ARENAS    ;0;0;0;146;0;0;0;0;0;0
